							+-------------------------+
							|      MATCH SCHEDULE     |
							+-------------------------+




MATCH	MATCH	DAY 	DATE 		TIME 		VENUE 		HOME 				AWAY
DAY	NO.

1	1	FRI	09-APR-21	07:30 PM	CHENNAI		MUMBAI INDIANS			ROYAL CHALLENGERS BANGALORE
2	2	SAT	10-APR-21	07:30 PM	MUMBAI		CHENNAI SUPER KINGS		DELHI CAPITALS
3	3	SUN	11-APR-21	07:30 PM	CHENNAI		SUNRISERS HYDERABAD		KOLKATA KNIGHT RIDERS
4	4	MON	12-APR-21	07:30 PM	MUMBAI		RAJASTHAN ROYALS		PUNJAB KINGS
5	5	TUE	13-APR-21	07:30 PM	CHENNAI		KOLKATA KNIGHT RIDERS		MUMBAI INDIANS
6	6	WED	14-APR-21	07:30 PM	CHENNAI		SUNRISERS HYDERABAD		ROYAL CHALLENGERS BANGALORE
7	7	THU	15-APR-21	07:30 PM	MUMBAI		RAJASTHAN ROYALS		DELHI CAPITALS
8	8	FRI	16-APR-21	07:30 PM	MUMBAI		PUNJAB KINGS			CHENNAI SUPER KINGS
9	9	SAT	17-APR-21	07:30 PM	CHENNAI		MUMBAI INDIANS			SUNRISERS HYDERABAD
10	10	SUN	18-APR-21	03:30 PM	CHENNAI		ROYAL CHALLENGERS BANGALORE	KOLKATA KNIGHT RIDERS
10      11      SUN     18-APR-21       07:30 PM        MUMBAI          DELHI CAPITALS                  PUNJAB KINGS
11      12      MON     19-APR-21       07:30 PM        MUMBAI          CHENNAI SUPER KINGS             RAJASTHAN ROYALS
12      13      TUE     20-APR-21       07:30 PM        CHENNAI         DELHI CAPITALS                  MUMBAI INDIANS
13      14      WED     21-APR-21       03:30 PM        CHENNAI         PUNJAB KINGS                    SUNRISERS HYDERABAD
13      15      WED     21-APR-21       07:30 PM        MUMBAI          KOLKATA KNIGHT RIDERS           CHENNAI SUPER KINGS
14      16      THU     22-APR-21       07:30 PM        MUMBAI          ROYAL CHALLENGERS BANGALORE     RAJASTHAN ROYALS
15      17      FRI     23-APR-21       07:30 PM        CHENNAI         PUNJAB KINGS                    MUMBAI INDIANS
16      18      SAT     24-APR-21       07:30 PM        MUMBAI          RAJASTHAN ROYALS                KOLKATA KNIGHT RIDERS
17      19      SUN     25-APR-21       03:30 PM        MUMBAI          CHENNAI SUPER KINGS             ROYAL CHALLENGERS BANGALORE
17      20      SUN     25-APR-21       07:30 PM        CHENNAI         SUNRISERS HYDERABAD             DELHI CAPITALS
18      21      MON     26-APR-21       07:30 PM        AHMEDABAD       PUNJAB KINGS                    KOLKATA KNIGHT RIDERS
19      22      TUE     27-APR-21       07:30 PM        AHMEDABAD       DELHI CAPITALS                  ROYAL CHALLENGERS BANGALORE
20      23      WED     28-APR-21       07:30 PM        DELHI           CHENNAI SUPER KINGS             SUNRISERS HYDERABAD
21      24      THU     29-APR-21       03:30 PM        DELHI           MUMBAI INDIANS                  RAJASTHAN ROYALS
21      25      THU     29-APR-21       07:30 PM        AHMEDABAD       DELHI CAPITALS                  KOLKATA KNIGHT RIDERS
22      26      FRI     30-APR-21       07:30 PM        AHMEDABAD       PUNJAB KINGS                    ROYAL CHALLENGERS BANGALORE
23      27      SAT     01-MAY-21       07:30 PM        DELHI           MUMBAI INDIANS                  CHENNAI SUPER KINGS
24      28      SUN     02-MAY-21       03:30 PM        DELHI           RAJASTHAN ROYALS                SUNRISERS HYDERABAD
24      29      SUN     02-MAY-21       07:30 PM        AHMEDABAD       PUNJAB KINGS                    DELHI CAPITALS
25      30      MON     03-MAY-21       07:30 PM        AHMEDABAD       KOLKATA KNIGHT RIDERS           ROYAL CHALLENGERS BANGALORE
26      31      TUE     04-MAY-21       07:30 PM        DELHI           SUNRISERS HYDERABAD             MUMBAI INDIANS
27      32      WED     05-MAY-21       07:30 PM        DELHI           RAJASTHAN ROYALS                CHENNAI SUPER KINGS
28      33      THU     06-MAY-21       07:30 PM        AHMEDABAD       ROYAL CHALLENGERS BANGALORE     PUNJAB KINGS
